BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
A000371,HON. PETE AGUILAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485754,CORNELL REBECCA T,1/16/2017,1/19/2017,CAR RENTAL,179.01,2017,CORNELL REBECCA T
A000371,HON. PETE AGUILAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/20/2017,AP,E0479380,WHITE JR WENDELL F.,10/2/2016,10/9/2016,CAR RENTAL,297.45,2016,WHITE JR WENDELL F.
A000372,HON. RICK W. ALLEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0472970,CITIBANK GOV CARD SERVICE,11/7/2016,11/9/2016,CAR RENTAL,159.06,2016,CITIBANK GOV CARD SERVICE
A000375,HON. JODEY C. ARRINGTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/20/2017,AP,E0496832,MCBRAYER KAITLYN J.,2/21/2017,2/25/2017,CAR RENTAL,390.24,2017,MCBRAYER KAITLYN J.
A000373,HON. BRAD ASHFORD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0481438,CITIBANK GOV CARD SERVICE,11/29/2016,12/28/2016,CAR RENTAL,241,2016,CITIBANK GOV CARD SERVICE
A000373,HON. BRAD ASHFORD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0487640,CITIBANK GOV CARD SERVICE,12/29/2016,1/1/2017,CAR RENTAL,480.26,2017,CITIBANK GOV CARD SERVICE
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/22/2017,AP,E0490017,CITIBANK GOV CARD SERVICE,1/24/2017,1/27/2017,CAR RENTAL,188.01,2017,CITIBANK GOV CARD SERVICE
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0501807,CITIBANK GOV CARD SERVICE,1/27/2017,2/24/2017,CAR RENTAL,259.29,2017,CITIBANK GOV CARD SERVICE
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0501811,CITIBANK GOV CARD SERVICE,2/1/2017,2/17/2017,CAR RENTAL,681.52,2017,CITIBANK GOV CARD SERVICE
B001300,HON. NANETTE DIAZ BARRAGAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0499904,CATRON MARSHA L,2/20/2017,2/26/2017,CAR RENTAL,153.95,2017,CATRON MARSHA L
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0496525,BASHFORD JANICE,1/15/2017,1/19/2017,CAR RENTAL,355.04,2017,BASHFORD JANICE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0496524,BASHFORD JANICE,12/17/2016,12/22/2016,CAR RENTAL,242.37,2016,BASHFORD JANICE
B001271,HON. DAN BENISHEK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0481028,CITIBANK GOV CARD SERVICE,6/27/2016,6/30/2016,CAR RENTAL,302.8,2016,CITIBANK GOV CARD SERVICE
B001271,HON. DAN BENISHEK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/31/2017,AP,E0482052,CITIBANK GOV CARD SERVICE,9/23/2016,9/26/2016,CAR RENTAL,239.19,2016,CITIBANK GOV CARD SERVICE
B001271,HON. DAN BENISHEK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0481169,CITIBANK GOV CARD SERVICE,9/28/2016,10/26/2016,CAR RENTAL,673.03,2016,CITIBANK GOV CARD SERVICE
B001271,HON. DAN BENISHEK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0482036,CITIBANK GOV CARD SERVICE,8/29/2016,8/31/2016,CAR RENTAL,302.6,2016,CITIBANK GOV CARD SERVICE
B001271,HON. DAN BENISHEK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0482036,CITIBANK GOV CARD SERVICE,9/8/2016,9/9/2016,CAR RENTAL,163,2016,CITIBANK GOV CARD SERVICE
B001287,HON. AMI BERA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/9/2017,AP,E0475754,OBERMILLER CHAD,10/5/2016,12/20/2016,CAR RENTAL,455.83,2016,OBERMILLER CHAD
B001302,HON. ANDY BIGGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0496214,WEIGEL DEBORAH M.,3/5/2017,3/5/2017,CAR RENTAL,238.45,2017,WEIGEL DEBORAH M.
B001250,HON. ROB BISHOP,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/3/2017,AP,E0488754,WISER DEVIN A.,2/8/2017,2/11/2017,CAR RENTAL,151.36,2017,WISER DEVIN A.
B000490,HON. SANFORD D. BISHOP  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0501765,CITIBANK GOV CARD SERVICE,2/19/2017,2/22/2017,CAR RENTAL,234.73,2017,CITIBANK GOV CARD SERVICE
B000490,HON. SANFORD D. BISHOP  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0470958,CITIBANK GOV CARD SERVICE,11/9/2016,11/9/2016,CAR RENTAL,371.12,2016,CITIBANK GOV CARD SERVICE
B000490,HON. SANFORD D. BISHOP  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0477017,ROSALES ADILENE,9/16/2016,9/18/2016,CAR RENTAL,172.95,2016,ROSALES ADILENE
B001243,HON. MARSHA BLACKBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0493691,WHEELER STEFANIE A.,2/20/2017,2/22/2017,CAR RENTAL,207.83,2017,WHEELER STEFANIE A.
B001243,HON. MARSHA BLACKBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/19/2017,AP,E0477830,WHEELER STEFANIE A.,12/12/2016,12/18/2016,CAR RENTAL,765.53,2016,WHEELER STEFANIE A.
B001243,HON. MARSHA BLACKBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,E0479958,FLINT II CHARLES A.,12/12/2016,12/15/2016,CAR RENTAL,332.8,2016,FLINT II CHARLES A.
B001245,HON. MADELEINE Z. BORDALLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0485386,CITIBANK GOV CARD SERVICE,1/28/2017,1/28/2017,CAR RENTAL,436.66,2017,CITIBANK GOV CARD SERVICE
B001245,HON. MADELEINE Z. BORDALLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0500599,CITIBANK GOV CARD SERVICE,2/22/2017,2/28/2017,CAR RENTAL,314.44,2017,CITIBANK GOV CARD SERVICE
B001245,HON. MADELEINE Z. BORDALLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0500578,MCMAHON JASON C.,2/19/2017,2/25/2017,CAR RENTAL,187.29,2017,MCMAHON JASON C.
B001245,HON. MADELEINE Z. BORDALLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0500580,HERRMANN MATTHEW,2/19/2017,2/21/2017,CAR RENTAL,114.27,2017,HERRMANN MATTHEW
B001245,HON. MADELEINE Z. BORDALLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0485196,CITIBANK GOV CARD SERVICE,9/26/2016,11/9/2016,CAR RENTAL,3624,2016,CITIBANK GOV CARD SERVICE
B001295,HON. MIKE BOST,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/23/2017,AP,E0490414,CITIBANK GOV CARD SERVICE,1/13/2017,1/14/2017,CAR RENTAL,133.12,2017,CITIBANK GOV CARD SERVICE
B001295,HON. MIKE BOST,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0494233,LANE NATHAN R.,2/20/2017,2/24/2017,CAR RENTAL,321.2,2017,LANE NATHAN R.
B001255,HON. CHARLES W.   BOUSTANY  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/5/2017,AP,E0474681,CHANDLER DANNY,12/14/2016,12/17/2016,CAR RENTAL,299.08,2016,CHANDLER DANNY
B000755,HON. KEVIN BRADY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/8/2017,AP,E0492554,LAST JEFFREY M.,2/8/2017,2/10/2017,CAR RENTAL,215.1,2017,LAST JEFFREY M.
B000755,HON. KEVIN BRADY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499779,DAVIS DAVID W.,2/20/2017,2/24/2017,CAR RENTAL,150.35,2017,DAVIS DAVID W.
B001283,HON. JIM BRIDENSTINE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0494295,CITIBANK GOV CARD SERVICE,1/30/2017,2/27/2017,CAR RENTAL,133.04,2017,CITIBANK GOV CARD SERVICE
B001283,HON. JIM BRIDENSTINE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476556,CITIBANK GOV CARD SERVICE,12/1/2016,12/28/2016,CAR RENTAL,139.57,2016,CITIBANK GOV CARD SERVICE
B001274,HON. MO BROOKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0475068,KELLER ANNALYSE D.,12/18/2016,12/21/2016,CAR RENTAL,105.23,2016,KELLER ANNALYSE D.
B001284,HON. SUSAN W. BROOKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0491683,DWIGHT HELEN R.,1/16/2017,1/18/2017,CAR RENTAL,160.05,2017,DWIGHT HELEN R.
B001284,HON. SUSAN W. BROOKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,E0474491,SAVAGE MEGAN H.,12/12/2016,12/14/2016,CAR RENTAL,113.89,2016,SAVAGE MEGAN H.
B001285,HON. JULIA BROWNLEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0484212,COUSIMANO JONATHAN F.,12/18/2016,12/21/2016,CAR RENTAL,192.1,2016,COUSIMANO JONATHAN F.
B001297,HON. KEN BUCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0491432,CITIBANK GOV CARD SERVICE,1/16/2017,1/18/2017,CAR RENTAL,109.56,2017,CITIBANK GOV CARD SERVICE
B001297,HON. KEN BUCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,E0473016,CITIBANK GOV CARD SERVICE,11/6/2016,11/10/2016,CAR RENTAL,231.15,2016,CITIBANK GOV CARD SERVICE
B001275,HON. LARRY BUCSHON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0471149,BUCKLEY TERESA,12/12/2016,12/13/2016,CAR RENTAL,225.97,2016,BUCKLEY TERESA
B001286,HON. CHERI BUSTOS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/9/2017,AP,E0482796,HIGGINS SEAN M.,1/13/2017,1/14/2017,CAR RENTAL,129.66,2017,HIGGINS SEAN M.
B001251,HON. G.K. BUTTERFIELD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0490446,CITIBANK GOV CARD SERVICE,1/18/2017,1/19/2017,CAR RENTAL,178.16,2017,CITIBANK GOV CARD SERVICE
B001251,HON. G.K. BUTTERFIELD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0501406,CITIBANK GOV CARD SERVICE,1/13/2017,2/25/2017,CAR RENTAL,923.83,2017,CITIBANK GOV CARD SERVICE
B001289,HON. BRADLEY BYRNE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0484551,CATLIN DANIEL M.,1/16/2017,1/18/2017,CAR RENTAL,124.31,2017,CATLIN DANIEL M.
B001289,HON. BRADLEY BYRNE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0484551,CATLIN DANIEL M.,1/24/2017,1/27/2017,CAR RENTAL,112.05,2017,CATLIN DANIEL M.
B001289,HON. BRADLEY BYRNE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0484549,PAYNE LAWRENCE F.,1/25/2017,1/26/2017,CAR RENTAL,150.18,2017,PAYNE LAWRENCE F.
B001289,HON. BRADLEY BYRNE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0494858,CATLIN DANIEL M.,2/20/2017,2/22/2017,CAR RENTAL,135.46,2017,CATLIN DANIEL M.
B001289,HON. BRADLEY BYRNE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0495876,PAYNE LAWRENCE F.,2/22/2017,2/23/2017,CAR RENTAL,143.43,2017,PAYNE LAWRENCE F.
B001289,HON. BRADLEY BYRNE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0499174,RONEY ELIZABETH B.,3/14/2017,3/15/2017,CAR RENTAL,147.93,2017,RONEY ELIZABETH B.
C000059,HON. KEN CALVERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/9/2017,AP,E0485982,CITIBANK GOV CARD SERVICE,1/13/2017,1/18/2017,CAR RENTAL,267.46,2017,CITIBANK GOV CARD SERVICE
C000059,HON. KEN CALVERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/20/2017,AP,E0497039,FOLEY IAN,2/20/2017,2/25/2017,CAR RENTAL,773.5,2017,FOLEY IAN
C000059,HON. KEN CALVERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0498422,CITIBANK GOV CARD SERVICE,2/17/2017,2/26/2017,CAR RENTAL,776.25,2017,CITIBANK GOV CARD SERVICE
C000059,HON. KEN CALVERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/24/2017,AP,E0498421,CITIBANK GOV CARD SERVICE,2/8/2017,2/13/2017,CAR RENTAL,377.62,2017,CITIBANK GOV CARD SERVICE
C000059,HON. KEN CALVERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/20/2017,AP,E0479384,CITIBANK GOV CARD SERVICE,11/17/2016,11/28/2016,CAR RENTAL,1077.25,2016,CITIBANK GOV CARD SERVICE
C000059,HON. KEN CALVERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/20/2017,AP,E0479384,CITIBANK GOV CARD SERVICE,12/8/2016,12/14/2016,CAR RENTAL,246.64,2016,CITIBANK GOV CARD SERVICE
C000059,HON. KEN CALVERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/9/2017,AP,E0485978,CITIBANK GOV CARD SERVICE,12/24/2016,1/2/2017,CAR RENTAL,798.94,2017,CITIBANK GOV CARD SERVICE
C001097,HON. TONY CARDENAS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/16/2017,AP,E0496598,AMODEO FRANCESCA T.,2/8/2017,2/11/2017,CAR RENTAL,267.95,2017,AMODEO FRANCESCA T.
C001097,HON. TONY CARDENAS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/9/2017,AP,E0483531,ZIGRAS VIRGINIA,8/1/2016,8/30/2016,CAR RENTAL,406.73,2016,ZIGRAS VIRGINIA
C001072,HON. ANDRE CARSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0487681,CITIBANK GOV CARD SERVICE,1/11/2017,1/13/2017,CAR RENTAL,215.3,2017,CITIBANK GOV CARD SERVICE
C001066,HON. KATHY CASTOR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/14/2017,AP,E0486797,GAMBOA JAVIER,1/25/2017,1/27/2017,CAR RENTAL,213.5,2017,GAMBOA JAVIER
C001076,HON. JASON CHAFFETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0492810,WHITE CLAY L.,2/21/2017,2/24/2017,CAR RENTAL,296.92,2017,WHITE CLAY L.
C001076,HON. JASON CHAFFETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0471997,TALLEY AMBER K.,12/13/2016,12/15/2016,CAR RENTAL,196.84,2016,TALLEY AMBER K.
C001076,HON. JASON CHAFFETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/23/2017,AP,E0477493,CITIBANK GOV CARD SERVICE,11/28/2016,12/22/2016,CAR RENTAL,944.06,2016,CITIBANK GOV CARD SERVICE
C001080,HON. JUDY CHU,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/5/2017,AP,E0474367,CITIBANK GOV CARD SERVICE,10/31/2016,11/6/2016,CAR RENTAL,144.51,2016,CITIBANK GOV CARD SERVICE
C001080,HON. JUDY CHU,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0478423,DESAI SONALI J.,8/23/2016,8/28/2016,CAR RENTAL,236.77,2016,DESAI SONALI J.
C001084,HON. DAVID N. CICILLINE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0473954,CITIBANK GOV CARD SERVICE,10/31/2016,11/9/2016,CAR RENTAL,304.59,2016,CITIBANK GOV CARD SERVICE
C001101,HON. KATHERINE M. CLARK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0498193,SCANNELL BROOKE A.,2/19/2017,2/23/2017,CAR RENTAL,212.58,2017,SCANNELL BROOKE A.
C001067,HON. YVETTE D. CLARKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/3/2017,AP,E0490110,CITIBANK GOV CARD SERVICE,1/8/2017,1/8/2017,CAR RENTAL,1396.78,2017,CITIBANK GOV CARD SERVICE
C001067,HON. YVETTE D. CLARKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/29/2017,AP,E0499198,CITIBANK GOV CARD SERVICE,2/6/2017,2/6/2017,CAR RENTAL,1374.43,2017,CITIBANK GOV CARD SERVICE
C001067,HON. YVETTE D. CLARKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/13/2017,AP,E0478176,CITIBANK GOV CARD SERVICE,11/9/2016,11/9/2016,CAR RENTAL,1476.62,2016,CITIBANK GOV CARD SERVICE
C001067,HON. YVETTE D. CLARKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485254,CITIBANK GOV CARD SERVICE,11/9/2016,12/9/2016,CAR RENTAL,1396.78,2016,CITIBANK GOV CARD SERVICE
C000537,HON. JAMES E. CLYBURN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0471288,CITIBANK GOV CARD SERVICE,11/4/2016,11/22/2016,CAR RENTAL,2702.81,2016,CITIBANK GOV CARD SERVICE
C001068,HON. STEVE COHEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/18/2017,AP,E0476731,FULTON MICHAEL G,11/7/2016,11/9/2016,CAR RENTAL,136.39,2016,FULTON MICHAEL G
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0478067,HOOK MICHAEL J.,1/4/2016,1/6/2016,CAR RENTAL,173.4,2016,HOOK MICHAEL J.
C001093,HON. DOUG COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,896948,ANDREWS JESSICA S.,10/30/2016,11/9/2016,CAR RENTAL,588.12,2016,ANDREWS JESSICA S.
C001093,HON. DOUG COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,897050,YATES ELLA P.,11/1/2016,11/9/2016,CAR RENTAL,406.13,2016,YATES ELLA P.
C001093,HON. DOUG COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,898518,CITIBANK GOV CARD SERVICE,12/13/2016,12/14/2016,CAR RENTAL,112.66,2016,CITIBANK GOV CARD SERVICE
C001108,HON. JAMES COMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0496854,CITIBANK GOV CARD SERVICE,2/21/2017,2/26/2017,CAR RENTAL,311.08,2017,CITIBANK GOV CARD SERVICE
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0490386,HORDER MICHAEL,2/8/2017,2/10/2017,CAR RENTAL,301.49,2017,HORDER MICHAEL
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0490387,WILLIAMS MARK R.,2/8/2017,2/10/2017,CAR RENTAL,299.51,2017,WILLIAMS MARK R.
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499657,HON. K. MICHAEL CONAWAY,2/3/2017,2/4/2017,CAR RENTAL,170.42,2017,HON. K. MICHAEL CONAWAY
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499661,THOMAS EVAN,2/2/2017,2/13/2017,CAR RENTAL,745.43,2017,THOMAS EVAN
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0485101,WILLIAMS MARK R.,12/12/2016,12/16/2016,CAR RENTAL,188.46,2016,WILLIAMS MARK R.
C001094,HON. PAUL COOK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0493111,HARTL KELLIE J.,2/20/2017,2/23/2017,CAR RENTAL,435.55,2017,HARTL KELLIE J.
C001094,HON. PAUL COOK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/24/2017,AP,E0498418,SOBEL JOHN A.,2/21/2017,2/27/2017,CAR RENTAL,199.42,2017,SOBEL JOHN A.
C001094,HON. PAUL COOK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0489258,CITIBANK GOV CARD SERVICE,10/7/2016,10/10/2016,CAR RENTAL,257.71,2016,CITIBANK GOV CARD SERVICE
C000754,HON. JIM COOPER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0494931,CITIBANK GOV CARD SERVICE,1/31/2017,2/2/2017,CAR RENTAL,251.93,2017,CITIBANK GOV CARD SERVICE
